filename,commit_count,lines,deletions,insertions,bug_fix_commits,bug_density
.gitignore,3,1652,1557,95,0,0.0
.merge_file_a09916,2,350,187,163,0,0.0
00000000000000001000000000000000,1,11,0,11,0,0.0
00000000000000002000000000000000,3,80,2,78,0,0.0
00000000000000003000000000000000,3,80,2,78,0,0.0
00000000000000004000000000000000,3,80,2,78,0,0.0
00000000000000004100000000000000,3,80,2,78,0,0.0
00000000000000005000000000000000,3,80,2,78,0,0.0
00000000000000005100000000000000,3,80,2,78,0,0.0
00000000000000006000000000000000,3,80,2,78,0,0.0
00000000000000006100000000000000,3,80,2,78,0,0.0
00000000000000007000000000000000,3,80,2,78,0,0.0
00000000000000008000000000000000,3,80,2,78,0,0.0
00000000000000009000000000000000,3,80,2,78,0,0.0
0000000000000000a000000000000000,3,80,2,78,0,0.0
0000000000000000b000000000000000,3,80,2,78,0,0.0
0000000000000000c000000000000000,3,80,2,78,0,0.0
01 - Default.mat,1,23752,8,23744,0,0.0
01 - Default.mat.meta,1,23752,8,23744,0,0.0
02 - Default.mat,1,23752,8,23744,0,0.0
02 - Default.mat.meta,1,23752,8,23744,0,0.0
03 - Default.mat,1,23752,8,23744,0,0.0
03 - Default.mat.meta,1,23752,8,23744,0,0.0
07 - Default.mat,1,23752,8,23744,0,0.0
07 - Default.mat.meta,1,23752,8,23744,0,0.0
1ddaa18988fac417e81238ac3f6b1736,1,377,0,377,0,0.0
243a26d516f834a9b9a69cc6456352d1,1,377,0,377,0,0.0
28425e09d7a144a8fa31bb852bf0d670,1,84,5,79,0,0.0
2d81e31c46d7fad41aa02d0f0b29db8e,3,80,2,78,0,0.0
3ab861467b624214ab275193ceafdce7,9,429,26,403,0,0.0
44ebf4bdcd05645c19810e16f3fd432d,1,377,0,377,0,0.0
46c37aab8a79a49f3a68770bcf65a0dc,1,377,0,377,0,0.0
4b9d5af7d1611e44495b86d240de887f,2,141,2,139,0,0.0
4ed2d8687d49a6e41845add4976c060a,1,69,2,67,0,0.0
50mmZoom.flare,1,23752,8,23744,0,0.0
50mmZoom.flare.meta,1,23752,8,23744,0,0.0
